-0.761, 1.85, 3.352, 0.966, 0.013, -0.001, -0.257
-0.726, 1.765, 3.197, 0.962, -0.004, -0.059, -0.268
-0.671, 1.631, 2.955, 0.956, -0.024, -0.119, -0.267
-0.741, 1.801, 3.262, 0.969, -0.0, -0.039, -0.244
-0.744, 1.808, 3.276, 0.964, 0.003, -0.035, -0.264
-0.767, 1.864, 3.377, 0.966, 0.02, 0.013, -0.259
-0.756, 1.838, 3.331, 0.965, 0.01, -0.011, -0.26
-0.712, 1.731, 3.136, 0.964, -0.012, -0.077, -0.253
-0.774, 1.88, 3.407, 0.962, 0.029, 0.036, -0.27
-0.751, 1.825, 3.307, 0.962, 0.008, -0.022, -0.271
-0.761, 1.849, 3.35, 0.965, 0.014, -0.003, -0.263
-0.754, 1.833, 3.321, 0.966, 0.008, -0.017, -0.256
-0.776, 1.886, 3.417, 0.961, 0.035, 0.054, -0.27
-0.755, 1.835, 3.325, 0.966, 0.009, -0.014, -0.257
-0.763, 1.854, 3.359, 0.97, 0.013, 0.002, -0.244
